Tanggal,Open,High,Low,Close,Volume
2019-12-26,68,68,68,68,0
2019-12-27,68,68,68,68,0
2019-12-30,68,68,68,68,73
2020-01-02,68,68,68,68,0
2020-01-03,68,68,68,68,73
2020-01-06,68,68,68,68,811
2020-01-07,68,68,68,68,150499
2020-01-08,68,68,68,68,0
2020-01-09,68,68,68,68,147
2020-01-10,68,68,68,68,221
2020-01-13,68,68,68,68,0
2020-01-14,68,68,68,68,0
2020-01-15,68,68,68,68,0
2020-01-16,68,68,68,68,0
2020-01-17,68,68,68,68,0
2020-01-20,68,68,68,68,0
2020-01-21,68,68,68,68,3024
2020-01-22,68,68,68,68,737
2020-01-23,68,68,68,68,0
2020-01-24,68,68,68,68,0
2020-01-27,68,68,68,68,0
2020-01-28,68,68,68,68,0
2020-01-29,68,68,68,68,73
2020-01-30,68,68,68,68,73
2020-01-31,68,68,68,68,368
2020-02-03,68,68,68,68,0
2020-02-04,68,68,68,68,295
2020-02-05,68,68,68,68,368
2020-02-06,68,68,68,68,0
2020-02-07,68,68,68,68,0
2020-02-10,68,68,68,68,0
2020-02-11,68,68,68,68,0
2020-02-12,68,68,68,68,0
2020-02-13,68,68,68,68,0
2020-02-14,68,68,68,68,0
2020-02-17,68,68,68,68,0
2020-02-18,68,68,68,68,0
2020-02-19,68,68,68,68,73
2020-02-20,68,68,68,68,73
2020-02-21,68,68,68,68,147
2020-02-24,68,68,68,68,0
2020-02-25,68,68,68,68,0
2020-02-26,68,68,68,68,0
2020-02-27,68,68,68,68,0
2020-02-28,68,68,68,68,0
2020-03-02,68,68,68,68,0
2020-03-03,68,68,68,68,0
2020-03-04,68,68,68,68,0
2020-03-05,68,68,68,68,0
2020-03-06,68,68,68,68,0
2020-03-09,68,68,68,68,0
2020-03-10,68,68,68,68,0
2020-03-11,68,68,68,68,0
2020-03-12,68,68,68,68,0
2020-03-13,68,68,68,68,0
2020-03-16,68,68,68,68,0
2020-03-17,68,68,68,68,0
2020-03-18,68,68,68,68,0
2020-03-19,68,68,68,68,0
2020-03-20,68,68,68,68,0
2020-03-23,68,68,68,68,0
2020-03-24,68,68,68,68,0
2020-03-26,68,68,68,68,0
2020-03-27,68,68,68,68,0
2020-03-30,68,68,68,68,0
2020-03-31,68,68,68,68,0
2020-04-01,68,68,68,68,0
2020-04-02,68,68,68,68,0
2020-04-03,68,68,68,68,0
2020-04-06,68,68,68,68,0
2020-04-07,68,68,68,68,0
2020-04-08,68,68,68,68,0
2020-04-09,68,68,68,68,0
2020-04-13,68,68,68,68,0
2020-04-14,68,68,68,68,2508
2020-04-15,68,68,68,68,0
2020-04-16,68,68,68,68,4205
2020-04-17,68,68,68,68,0
2020-04-20,68,68,68,68,0
2020-04-21,68,68,68,68,0
2020-04-22,68,68,68,68,0
2020-04-23,68,68,68,68,0
2020-04-24,68,68,68,68,0
2020-04-27,68,68,68,68,0
2020-04-28,68,68,68,68,0
2020-04-29,68,68,68,68,7377
2020-04-30,68,68,68,68,0
2020-05-04,68,68,68,68,0
2020-05-05,68,68,68,68,73
2020-05-06,68,68,68,68,7303
