Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,7823,7957,7890,66.87,10,7890.0,0.0181,7750.0,356.32,1
Resistance,8077,8240,8158,81.42,12,8158.0,0.0526,7750.0,191.56,2
Resistance,8401,8566,8483,82.74,15,8483.0,0.0946,7750.0,143.43,3
Resistance,8667,8847,8757,90.26,18,8757.0,0.1299,7750.0,128.63,4
Resistance,9047,9196,9122,74.32,15,9122.0,0.177,7750.0,80.2,5
Resistance,9333,9484,9408,75.4,15,9408.0,0.2139,7750.0,66.98,6
Resistance,9736,10030,9883,146.84,9,9883.0,0.2752,7750.0,31.55,7
Resistance,10779,11026,10902,123.72,11,10902.0,0.4067,7750.0,26.4,8
Resistance,10267,10513,10390,123.24,5,10390.0,0.3406,7750.0,14.26,9
Resistance,11571,11796,11683,112.73,3,11683.0,0.5075,7750.0,5.8,10
Support,7284,7472,7378,93.91,17,7378.0,0.048,7750.0,293.1,1
Support,7567,7700,7633,66.46,6,7633.0,0.0151,7750.0,239.07,2
Support,6908,7104,7006,97.77,12,7006.0,0.096,7750.0,113.21,3
Support,6597,6776,6687,89.34,13,6687.0,0.1372,7750.0,88.34,4
Support,5949,6101,6025,76.38,7,6025.0,0.2226,7750.0,30.1,5
Support,6178,6347,6262,84.78,6,6262.0,0.192,7750.0,29.7,6
Support,4650,5053,4852,201.4,11,4852.0,0.3739,7750.0,28.65,7
Support,4215,4433,4324,109.26,10,4324.0,0.4421,7750.0,22.12,8
Support,3749,4094,3922,172.21,6,3922.0,0.4939,7750.0,11.91,9
Support,3020,3020,3020,0.0,1,3020.0,0.6103,7750.0,1.61,10
