Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih,Z_Score,Mean_Reference,Std_Reference
2020-05-29,80,68,80.0,,Resistance,80.0,62.0,18.0,0.894097042927434,68.67796610169492,12.66309287997946
2021-01-08,70,68,70.0,,Resistance,70.0,62.0,8.0,0.10440055291667605,68.67796610169492,12.66309287997946
2021-06-10,75,68,75.0,,Resistance,75.0,62.0,13.0,0.499248797922055,68.67796610169492,12.66309287997946
2021-07-09,85,68,85.0,,Resistance,85.0,62.0,23.0,1.288945287932813,68.67796610169492,12.66309287997946
2021-07-16,69,68,69.0,,Resistance,69.0,62.0,7.0,0.02543090391560026,68.67796610169492,12.66309287997946
2021-09-30,76,68,76.0,,Resistance,76.0,62.0,14.0,0.5782184469231308,68.67796610169492,12.66309287997946
2021-12-17,69,68,69.0,,Resistance,69.0,62.0,7.0,0.02543090391560026,68.67796610169492,12.66309287997946
2022-02-09,81,68,81.0,,Resistance,81.0,62.0,19.0,0.9730666919285098,68.67796610169492,12.66309287997946
2022-02-23,56,52,,52.0,Support,52.0,62.0,-10.0,-1.3170531291026881,68.67796610169492,12.66309287997946
2022-02-24,71,55,71.0,,Resistance,71.0,62.0,9.0,0.18337020191775186,68.67796610169492,12.66309287997946
2022-09-27,66,56,66.0,,Resistance,66.0,62.0,4.0,-0.2114780430876271,68.67796610169492,12.66309287997946
2022-09-30,58,51,,51.0,Support,51.0,62.0,-11.0,-1.396022778103764,68.67796610169492,12.66309287997946
2022-10-05,53,50,,50.0,Support,50.0,62.0,-12.0,-1.4749924271048398,68.67796610169492,12.66309287997946
2022-10-07,53,50,,50.0,Support,50.0,62.0,-12.0,-1.4749924271048398,68.67796610169492,12.66309287997946
2022-11-09,63,54,63.0,,Resistance,63.0,62.0,1.0,-0.4483869900908545,68.67796610169492,12.66309287997946
2022-11-16,56,53,,53.0,Support,53.0,62.0,-9.0,-1.2380834801016125,68.67796610169492,12.66309287997946
2022-11-23,57,55,,55.0,Support,55.0,62.0,-7.0,-1.0801441820994608,68.67796610169492,12.66309287997946
2022-11-28,56,53,,53.0,Support,53.0,62.0,-9.0,-1.2380834801016125,68.67796610169492,12.66309287997946
2022-12-01,77,69,77.0,,Resistance,77.0,62.0,15.0,0.6571880959242066,68.67796610169492,12.66309287997946
2022-12-07,81,57,,57.0,Support,57.0,62.0,-5.0,-0.9222048840973093,68.67796610169492,12.66309287997946
2022-12-08,84,63,84.0,,Resistance,84.0,62.0,22.0,1.209975638931737,68.67796610169492,12.66309287997946
2022-12-12,86,69,86.0,,Resistance,86.0,62.0,24.0,1.3679149369338888,68.67796610169492,12.66309287997946
2022-12-15,97,83,97.0,,Resistance,97.0,62.0,35.0,2.2365810759457223,68.67796610169492,12.66309287997946
2022-12-21,90,78,90.0,,Resistance,90.0,62.0,28.0,1.683793532938192,68.67796610169492,12.66309287997946
2022-12-27,85,76,85.0,,Resistance,85.0,62.0,23.0,1.288945287932813,68.67796610169492,12.66309287997946
2023-01-16,78,66,78.0,,Resistance,78.0,62.0,16.0,0.7361577449252824,68.67796610169492,12.66309287997946
2023-01-25,66,62,66.0,,Resistance,66.0,62.0,4.0,-0.2114780430876271,68.67796610169492,12.66309287997946
2023-03-03,54,50,,50.0,Support,50.0,62.0,-12.0,-1.4749924271048398,68.67796610169492,12.66309287997946
2023-03-16,56,51,,51.0,Support,51.0,62.0,-11.0,-1.396022778103764,68.67796610169492,12.66309287997946
2023-03-20,54,51,,51.0,Support,51.0,62.0,-11.0,-1.396022778103764,68.67796610169492,12.66309287997946
2023-03-30,56,53,,53.0,Support,53.0,62.0,-9.0,-1.2380834801016125,68.67796610169492,12.66309287997946
2023-05-08,59,55,,55.0,Support,55.0,62.0,-7.0,-1.0801441820994608,68.67796610169492,12.66309287997946
2023-05-25,60,57,,57.0,Support,57.0,62.0,-5.0,-0.9222048840973093,68.67796610169492,12.66309287997946
2023-06-05,59,55,,55.0,Support,55.0,62.0,-7.0,-1.0801441820994608,68.67796610169492,12.66309287997946
2023-07-05,59,56,,56.0,Support,56.0,62.0,-6.0,-1.001174533098385,68.67796610169492,12.66309287997946
2023-07-27,64,59,,59.0,Support,59.0,62.0,-3.0,-0.7642655860951577,68.67796610169492,12.66309287997946
2023-07-31,72,60,72.0,,Resistance,72.0,62.0,10.0,0.26233985091882767,68.67796610169492,12.66309287997946
2023-08-01,66,59,,59.0,Support,59.0,62.0,-3.0,-0.7642655860951577,68.67796610169492,12.66309287997946
2023-08-08,65,62,65.0,,Resistance,65.0,62.0,3.0,-0.2904476920887029,68.67796610169492,12.66309287997946
2023-08-09,64,60,,60.0,Support,60.0,62.0,-2.0,-0.6852959370940819,68.67796610169492,12.66309287997946
2023-08-15,81,63,81.0,,Resistance,81.0,62.0,19.0,0.9730666919285098,68.67796610169492,12.66309287997946
2023-08-25,79,69,79.0,,Resistance,79.0,62.0,17.0,0.8151273939263581,68.67796610169492,12.66309287997946
2023-08-30,79,72,79.0,,Resistance,79.0,62.0,17.0,0.8151273939263581,68.67796610169492,12.66309287997946
2023-09-06,76,69,76.0,,Resistance,76.0,62.0,14.0,0.5782184469231308,68.67796610169492,12.66309287997946
2023-09-12,79,71,79.0,,Resistance,79.0,62.0,17.0,0.8151273939263581,68.67796610169492,12.66309287997946
2023-09-15,92,74,92.0,,Resistance,92.0,62.0,30.0,1.8417328309403436,68.67796610169492,12.66309287997946
2023-09-25,81,72,81.0,,Resistance,81.0,62.0,19.0,0.9730666919285098,68.67796610169492,12.66309287997946
2023-09-29,79,75,79.0,,Resistance,79.0,62.0,17.0,0.8151273939263581,68.67796610169492,12.66309287997946
2023-10-05,76,69,76.0,,Resistance,76.0,62.0,14.0,0.5782184469231308,68.67796610169492,12.66309287997946
2023-10-10,78,70,78.0,,Resistance,78.0,62.0,16.0,0.7361577449252824,68.67796610169492,12.66309287997946
2023-10-24,75,69,75.0,,Resistance,75.0,62.0,13.0,0.499248797922055,68.67796610169492,12.66309287997946
2023-10-31,78,67,78.0,,Resistance,78.0,62.0,16.0,0.7361577449252824,68.67796610169492,12.66309287997946
2023-11-09,74,70,74.0,,Resistance,74.0,62.0,12.0,0.42027914892097923,68.67796610169492,12.66309287997946
2023-11-13,74,69,74.0,,Resistance,74.0,62.0,12.0,0.42027914892097923,68.67796610169492,12.66309287997946
2023-11-16,73,66,73.0,66.0,Resistance,73.0,62.0,11.0,0.34130949991990345,68.67796610169492,12.66309287997946
2023-12-11,64,51,,51.0,Support,51.0,62.0,-11.0,-1.396022778103764,68.67796610169492,12.66309287997946
2023-12-13,60,53,,53.0,Support,53.0,62.0,-9.0,-1.2380834801016125,68.67796610169492,12.66309287997946
2023-12-14,67,55,67.0,,Resistance,67.0,62.0,5.0,-0.13250839408655132,68.67796610169492,12.66309287997946
